일차,프레게1(초4),프레게2(초5),프레게3(초6)
1일차,[비문학] 세계의 새해 풍습,[비문학] 환율 변동과 수출,[비문학] 플라톤의 동굴 비유와 인식
2일차,[비문학] 설명문의 중심 문장,[비문학] 먹이사슬과 생태계,[비문학] 사회계약론의 국가관
3일차,[비문학] 지도 축척 읽기,[비문학] 고전 회화의 원근,[비문학] 엔트로피와 열역학
4일차,[비문학] 화산과 지진,[비문학] 관점 비교 읽기,[비문학] 반도체 공정
5일차,[비문학] 원근법이 보이는 그림,[비문학] IMF 외환 위기,[비문학] 아리스토텔레스의 시학
6일차,[문학] 해저 2만 리 1부: 뜻밖의 시작,[문학] 왕자와 거지 1부: 뜻밖의 시작,[문학] 소나기 1부: 뜻밖의 시작
7일차,[문학] 해저 2만 리 2부: 새로운 만남,[문학] 왕자와 거지 2부: 새로운 만남,[문학] 소나기 2부: 새로운 만남
8일차,[문학] 해저 2만 리 3부: 깊어지는 문제,[문학] 왕자와 거지 3부: 깊어지는 문제,[문학] 소나기 3부: 깊어지는 문제
9일차,[칼럼] 교실 휴대전화 사용을 둘러싼 서로 다른 생각,[칼럼] 학교 선행학습을 둘러싼 서로 다른 생각,[칼럼] 우주 관광 규제를 둘러싼 서로 다른 생각
10일차,[논설문] 교실 휴대전화 사용에 대해 내 입장을 밝히는 글,[논설문] 학교 선행학습에 대해 내 입장을 밝히는 글,[논설문] 우주 관광 규제에 대해 내 입장을 밝히는 글
11일차,[비문학] 조개껍데기부터 지폐까지,[비문학] 면역 체계와 백신,[비문학] 애덤 스미스의 분업론
12일차,[비문학] 사실과 의견 구분,[비문학] 인상주의의 빛,[비문학] 양자중첩과 측정
13일차,[비문학] 등고선과 지형,[비문학] 게놈 프로젝트와 생명 윤리,[비문학] 블록체인 합의 알고리즘
14일차,[비문학] 지층과 화석,[비문학] 반론과 재반론,[비문학] 서사와 플롯
15일차,[비문학] 대비와 조화의 색,[비문학] 세포 구조와 미토콘드리아,[비문학] 공자의 인과 예
16일차,[문학] 해저 2만 리 4부: 결심과 실행,[문학] 왕자와 거지 4부: 결심과 실행,[문학] 소나기 4부: 결심과 실행
17일차,[문학] 해저 2만 리 5부: 돌아보는 끝,[문학] 왕자와 거지 5부: 돌아보는 끝,[문학] 소나기 5부: 돌아보는 끝
18일차,[문학] 흥부와 놀부,[문학] 서시,[문학] 서시
19일차,[건의문] 교실 휴대전화 사용 해결을 위한 제안,[건의문] 학교 선행학습 해결을 위한 제안,[건의문] 우주 관광 규제 해결을 위한 제안
20일차,[회의록] 교실 휴대전화 사용을 주제로 한 토의 기록,[회의록] 학교 선행학습을 주제로 한 토의 기록,[회의록] 우주 관광 규제를 주제로 한 토의 기록
21일차,[비문학] 착시 현상과 뇌,[비문학] 추상미술의 색면,[비문학] 케인스와 하이에크 논쟁
22일차,[비문학] 문단의 짜임,[비문학] 블록체인과 분산 원장,[비문학] 상대성이론의 시간 지연
23일차,[비문학] 우리 지역의 기후 생활,[비문학] 통계 자료 해석,[비문학] 양자컴퓨팅의 큐비트
24일차,[비문학] 판화의 찍기 원리,[비문학] 인플레이션과 물가,[비문학] 브레히트의 소격효과
25일차,[비문학] 독과점의 폐해,[비문학] DNA와 유전자,[비문학] 노자의 무위자연
26일차,[문학] 토끼전,[문학] 엄마 걱정,[문학] 청포도
27일차,[문학] 해와 달이 된 오누이,[문학] 동물농장 1부: 뜻밖의 시작,[문학] 엄마 걱정
28일차,[문학] 금도끼 은도끼,[문학] 동물농장 2부: 새로운 만남,[문학] 담쟁이
29일차,[칼럼] 학교 앞 교통안전을 둘러싼 서로 다른 생각,[칼럼] 학교 매점 건강 간식을 둘러싼 서로 다른 생각,[칼럼] 기본소득을 둘러싼 서로 다른 생각
30일차,[논설문] 학교 앞 교통안전에 대해 내 입장을 밝히는 글,[논설문] 학교 매점 건강 간식에 대해 내 입장을 밝히는 글,[논설문] 기본소득에 대해 내 입장을 밝히는 글
31일차,[비문학] 사건이 이어지는 순서,[비문학] 메타버스와 정체성,[비문학] 죄수의 딜레마와 협력
32일차,[비문학] 촌락과 도시의 차이,[비문학] 기사와 칼럼 구분,[비문학] CRISPR 유전자 교정
33일차,[비문학] 별의 밝기와 거리,[비문학] 최저임금의 딜레마,[비문학] 자율주행 센서 융합
34일차,[비문학] 수묵 담채의 느낌,[비문학] 진화와 적응,[비문학] 리얼리즘과 모더니즘
35일차,[비문학] 인물의 마음을 짐작하는 단서,[비문학] 판소리의 사설,[비문학] 불교의 연기설
36일차,[문학] 톰 소여의 모험 1부: 뜻밖의 시작,[문학] 동물농장 3부: 깊어지는 문제,[문학] 먼 후일
37일차,[문학] 톰 소여의 모험 2부: 새로운 만남,[문학] 동물농장 4부: 결심과 실행,[문학] 낙화
38일차,[문학] 톰 소여의 모험 3부: 깊어지는 문제,[문학] 동물농장 5부: 돌아보는 끝,[문학] 고향
39일차,[건의문] 학교 앞 교통안전 해결을 위한 제안,[건의문] 학교 매점 건강 간식 해결을 위한 제안,[건의문] 기본소득 해결을 위한 제안
