Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Sohssure,20,20%,4,42.55,Sohssure 1,29.0,37.0,41.5,31.5,43.0,53.5,50.0,40.0,50.0,50.0
Sohssure,20,40%,8,45.35,Sohssure 2,45.6,34.5,51.0,34.5,47.9,50.0,47.0,43.0,50.0,50.0
Sohssure,20,60%,12,52.18,Sohssure 2,48.4,57.5,53.5,52.0,61.9,57.0,50.0,41.5,50.0,50.0
Sohssure,20,80%,16,56.5,Sohssure 3,78.0,60.5,51.0,51.0,71.0,53.5,53.5,46.5,50.0,50.0
Sohssure,20,100%,20,60.85,Sohssure 3,67.5,92.0,50.0,78.0,64.0,53.5,50.0,53.5,50.0,50.0
Sohssure,30,20%,6,37.75,Sohssure 1,32.6,4.5,48.0,7.5,47.9,57.0,50.0,30.0,50.0,50.0
Sohssure,30,40%,12,45.9,Sohssure 2,33.0,40.5,46.0,43.5,51.0,57.0,53.5,34.5,50.0,50.0
Sohssure,30,60%,18,53.0,Sohssure 2,31.5,68.0,61.5,63.0,47.5,57.0,50.0,51.5,50.0,50.0
Sohssure,30,80%,24,59.18,Sohssure 3,76.9,67.0,60.5,65.0,61.9,57.0,50.0,53.5,50.0,50.0
Sohssure,30,100%,30,66.2,Frege 1 (Promoted),74.5,100,64.0,88.5,71.0,57.0,53.5,53.5,50.0,50.0
Sohssure,40,20%,8,35.48,Sohssure 1,20.4,1.5,47.5,9.0,41.4,53.5,47.0,34.5,50.0,50.0
Sohssure,40,40%,16,43.75,Sohssure 1,29.0,35.0,49.0,39.0,40.0,52.0,53.5,40.0,50.0,50.0
Sohssure,40,60%,24,52.6,Sohssure 2,51.5,73.0,52.0,43.0,58.0,60.5,50.0,38.0,50.0,50.0
Sohssure,40,80%,32,62.45,Sohssure 3,73.0,97.5,47.5,82.5,60.0,53.5,53.5,57.0,50.0,50.0
Sohssure,40,100%,40,68.75,Frege 1 (Promoted),85.0,100,71.0,100,64.0,57.0,53.5,57.0,50.0,50.0
Sohssure,50,20%,10,31.55,Sohssure 1 (Foundation),5.0,1.0,44.0,0,39.0,46.5,47.5,32.5,50.0,50.0
Sohssure,50,40%,20,41.92,Sohssure 1,42.5,17.6,46.5,21.0,60.1,53.5,45.0,33.0,50.0,50.0
Sohssure,50,60%,30,53.62,Sohssure 2,29.5,74.6,61.0,56.0,50.6,64.0,47.5,53.0,50.0,50.0
Sohssure,50,80%,40,66.1,Frege 1 (Promoted),66.0,88.5,71.0,78.5,78.0,64.0,53.5,61.5,50.0,50.0
Sohssure,50,100%,50,72.25,Frege 1 (Promoted),95.5,100,71.0,100,78.0,60.5,53.5,64.0,50.0,50.0
Sohssure,20,20%,4,42.4,Sohssure 1,32.5,24.0,53.5,34.0,44.0,50.0,50.0,36.0,50.0,50.0
Sohssure,20,40%,8,44.95,Sohssure 1,45.0,41.0,50.0,28.0,50.0,50.0,47.5,38.0,50.0,50.0
Sohssure,20,60%,12,51.45,Sohssure 2,46.5,49.5,51.5,55.5,57.0,50.0,50.0,54.5,50.0,50.0
Sohssure,20,80%,16,55.7,Sohssure 3,57.5,64.0,54.5,68.5,57.0,53.5,51.0,51.0,50.0,50.0
Sohssure,20,100%,20,61.55,Sohssure 3,60.5,95.5,57.0,78.0,64.0,57.0,50.0,53.5,50.0,50.0
Sohssure,30,20%,6,38.87,Sohssure 1,46.0,5.1,42.0,8.5,54.1,50.0,46.5,36.5,50.0,50.0
Sohssure,30,40%,12,46.47,Sohssure 2,24.0,49.6,60.5,41.0,41.1,57.0,50.0,41.5,50.0,50.0
Sohssure,30,60%,18,50.85,Sohssure 2,52.0,60.0,54.5,49.5,53.5,53.5,50.0,35.5,50.0,50.0
Sohssure,30,80%,24,59.45,Sohssure 3,68.5,84.0,50.5,66.5,60.5,57.0,53.5,54.0,50.0,50.0
Sohssure,30,100%,30,64.1,Sohssure 3,74.5,100,57.0,81.5,64.0,50.0,50.0,64.0,50.0,50.0
